timestamp,current_ma,brightness,avg_cpu_freq
1768409395,494,3515,1662500
1768409396,242,3515,537500
1768409397,218,3515,537500
1768409398,245,3515,537500
1768409399,239,3515,537500
1768409400,209,3515,537500
1768409401,324,3515,1397500
1768409402,443,3515,1397500
1768409403,246,3515,537500
1768409404,312,3515,537500
1768409405,293,3515,537500
1768409406,396,3515,1397500
1768409407,385,3515,837500
1768409408,300,3515,537500
1768409409,206,3515,537500
1768409410,1004,3515,2150000
1768409411,1544,3515,2150000
1768409412,745,3515,2150000
1768409413,1390,3515,1705250
1768409414,300,3515,612500
1768409415,171,3515,537500
1768409416,393,3515,1397500
1768409417,101,3515,790000
1768409418,98,3515,537500
1768409419,203,3515,1397500
1768409420,203,3515,902500
1768409421,225,3515,537500
1768409422,218,3515,537500
1768409423,197,3515,1397500
1768409424,291,3515,1397500
1768409425,401,3515,1397500
1768409426,254,3515,1397500
1768409427,179,3515,537500
1768409428,118,3515,537500
1768409429,135,3515,537500
1768409430,107,3515,732500
1768409431,152,3515,537500
1768409432,192,3515,537500
1768409433,254,3515,537500
1768409434,110,3515,537500
1768409435,228,3515,537500
1768409436,203,3515,537500
1768409437,80,3515,537500
1768409438,261,3515,537500
1768409439,209,3515,537500
1768409440,179,3515,537500
1768409441,121,3515,537500
1768409442,280,3515,612500
1768409443,137,3515,537500
1768409444,236,3515,537500
1768409445,372,3515,661250
1768410072,508,1401,1397500
1768410073,535,1401,2150000
1768410074,1421,1401,2150000
1768410075,1274,1401,2150000
1768410076,1076,1401,1385000
1768410077,1392,1401,2150000
1768410078,681,1825,2150000
1768410079,1640,1825,2150000
1768410080,1544,1646,2150000
1768410081,1402,1523,2150000
1768410082,994,2249,1439750
1768410083,1078,1898,1857500
1768410084,622,1792,817500
1768410085,886,1722,1153375
1768410086,438,1722,612500
1768410087,906,1722,855000
1768410088,545,1722,715000
1768410089,556,1722,715000
1768410090,372,1722,556250
1768410091,760,1722,930000
1768410092,372,1722,537500
1768410093,734,1722,715000
1768410094,476,1722,806250
1768410095,458,1722,650000
1768410096,672,1722,706250
1768410097,485,1722,617500
1768410098,327,1722,650000
1768410099,388,1722,681250
1768410100,595,1722,687500
1768410101,325,1722,537500
1768410102,372,1722,537500
1768410103,488,1722,920000
1768410104,488,1722,797500
1768410105,835,1722,1085000
1768410106,548,1722,840000
1768410107,454,1722,556250
1768410108,260,1722,537500
1768410109,448,1722,537500
1768410110,559,1722,650000
1768410111,394,1722,1217750
1768410113,282,1722,537500
1768410114,607,1722,683750
1768410115,427,1722,991250
1768410116,584,1722,1110000
1768410117,363,1722,631250
1768410118,260,1722,537500
1768410119,318,1722,631250
1768410120,388,1722,1114750
1768410121,306,1722,537500
1768410122,529,1722,855000
1768410123,535,1722,880000
1768410124,802,1722,1310000
1768410125,678,1722,1206750
1768410126,300,1722,537500
1768410127,318,1722,537500
1768410128,237,1722,537500
1768410129,206,1722,537500
1768410130,306,1722,537500
1768410131,517,1722,537500
1768410132,321,1722,537500
1768410133,435,1722,537500
1768410134,903,1722,1075000
1768410135,789,1722,650000
1768410136,457,1722,650000
1768410137,310,1722,650000
1768410138,304,1722,537500
1768410139,325,1722,537500
1768410140,252,1722,537500
1768410141,364,1722,612500
1768410142,321,1722,575000
1768410143,330,1722,537500
1768410144,769,1722,556250
1768410145,511,1722,635000
1768410146,568,1722,782500
1768410147,358,1722,1662500
1768410148,607,1722,1512500
1768410149,295,1722,537500
1768410150,194,1722,612500
1768410151,346,1722,537500
1768410152,865,1722,1277500
1768410153,416,1722,705000
1768410154,415,1722,743750
1768410155,409,1722,537500
1768410156,351,1722,537500
1768410157,487,1722,537500
1768410158,294,1722,537500
1768410159,273,1722,537500
1768410160,285,1722,556250
1768410161,304,1722,537500
1768410162,867,1722,2000000
1768410163,520,1722,840000
1768410164,520,1722,748750
1768410165,651,1722,913750
1768410166,572,1722,662500
1768410167,1193,1722,1412500
1768410168,485,1722,537500
1768410169,331,1722,717500
1768410170,218,1722,537500
1768410171,656,1722,737500
1768410172,532,1722,537500
1768410173,820,1722,1000000
1768410174,689,1722,706250
1768410175,497,1722,650000
1768410176,438,1722,650000
1768410177,373,1722,537500
1768410178,382,1722,537500
1768410179,293,1722,575000
1768410180,285,1722,537500
1768410181,458,1722,850000
1768410182,411,1722,537500
1768410183,799,1722,1893750
1768410184,533,1722,650000
1768410185,593,1722,1002500
1768410186,446,1722,612500
1768410187,711,1722,593750
1768410188,553,1722,612500
1768410189,446,1722,593750
1768410190,692,1722,672500
1768410191,539,1722,650000
1768410192,479,1722,593750
1768410193,738,1722,768750
1768410194,427,1722,537500
1768410195,551,1722,537500
1768410197,505,1722,537500
1768410198,273,1722,575000
1768410199,321,1722,537500
1768410200,897,1722,1075000
1768410201,550,1722,741250
1768410202,603,1722,612500
1768410203,227,1722,537500
1768410204,322,1722,537500
1768410205,239,1722,537500
1768410206,246,1722,650000
1768410207,672,1722,726250
1768410208,336,1722,537500
1768410209,539,1722,882500
1768410210,321,1722,537500
1768410211,622,1722,716250
1768410212,387,1722,537500
1768410213,358,1722,537500
1768410214,276,1722,537500
1768410215,213,1722,537500
1768410216,343,1722,537500
1768410217,411,1722,556250
1768410218,897,1722,1603125
1768410219,544,1722,685000
1768410220,834,1722,1225000
1768410221,650,1722,772500
1768410222,556,1722,537500
1768410223,273,1722,537500
1768410224,427,1722,706250
1768410225,239,1722,537500
1768410226,325,1722,537500
1768410227,264,1722,537500
1768410228,313,1722,717500
1768410229,369,1722,537500
1768410230,973,1722,1330000
1768410231,684,1722,868750
1768410232,583,1722,650000
1768410233,306,1722,537500
1768410234,294,1722,537500
1768410235,409,1722,537500
1768410236,245,1722,537500
1768410237,348,1722,537500
1768410238,494,1722,837500
1768410239,313,1722,650000
1768410240,660,1722,876250
1768410241,662,1722,1125000
1768410242,345,1722,717500
1768410243,322,1722,537500
1768410244,535,1722,627500
1768410245,382,1722,635000
1768410246,304,1722,537500
1768410247,550,1722,1662500
1768410248,319,1722,537500
1768410249,409,1722,537500
1768410250,409,1722,537500
1768410251,433,1722,672500
1768410252,726,1722,612500
1768410253,1038,1722,1212500
1768410254,396,1722,1055750
1768410255,327,1722,537500
1768410256,357,1722,537500
1768410257,334,1722,631250
1768410258,318,1722,537500
1768410259,473,1722,537500
1768410260,275,1722,537500
1768410261,375,1722,537500
1768410262,439,1722,537500
1768410263,571,1722,980000
1768410264,485,1722,775000
1768410265,982,1722,987500
1768410266,346,1722,537500
1768410267,354,1722,556250
1768410268,494,1722,537500
1768410269,346,1722,537500
1768410270,236,1722,593750
1768410271,339,1722,537500
1768410272,318,1722,537500
1768410273,748,1722,987500
1768410274,312,1722,537500
1768410275,306,1722,537500
1768410276,499,1722,537500
1768410277,497,1722,537500
1768410278,343,1722,537500
1768410279,285,1722,575000
1768410280,403,1722,631250
1768410281,221,1722,537500
1768410282,312,1722,537500
1768410283,349,1722,695000
1768410284,590,1722,1907500
1768410285,264,1722,537500
1768410286,357,1722,537500
1768410287,334,1722,537500
1768410288,345,1722,593750
1768410290,458,1722,1153500
1768410291,406,1722,575000
1768410292,285,1722,537500
1768410293,611,1722,858750
1768410294,403,1722,725000
1768410295,216,1722,537500
1768410296,275,1722,537500
1768410297,221,1722,537500
1768410298,373,1722,537500
1768410299,186,1722,537500
1768410300,397,1722,964375
1768410301,321,1722,537500
1768410302,467,1722,650000
1768410303,932,1722,730000
1768410304,618,1722,952250
1768410305,352,1722,537500
1768410306,482,1722,650000
1768410307,293,1722,537500
1768410308,454,1722,537500
1768410309,369,1722,537500
1768410310,255,1722,537500
1768410311,307,1722,537500
1768410312,457,1722,653750
1768410313,248,1722,537500
1768410314,1264,1722,1055000
1768410315,316,1722,537500
1768410316,651,1722,875000
1768410317,497,1722,537500
1768410318,228,1722,537500
1768410319,336,1722,537500
1768410320,426,1722,537500
1768410321,726,1722,1850000
1768410322,756,1722,942500
1768410323,831,1722,875000
1768410324,416,1722,537500
1768410325,327,1722,537500
1768410326,251,1722,537500
1768410327,408,1722,650000
1768410328,482,1722,1380250
1768410329,313,1722,593750
1768410330,1505,1722,2150000
1768410331,1459,1722,2150000
1768410332,698,1722,2150000
1768410333,689,1722,1662500
1768410334,385,1722,537500
1768410335,354,1722,537500
1768410336,701,1739,755000
1768410337,1179,1825,2063625
1768410338,1602,1825,2150000
1768410339,1460,1825,2150000
1768410340,1438,1825,2150000
1768410341,1532,1825,2150000
1768410342,1134,1825,2150000
1768410343,1601,1825,2150000
1768410344,758,1825,2150000
1768410345,644,1825,2150000
1768410346,345,1825,2150000
1768410347,584,1825,2150000
1768410348,1514,1562,2150000
1768410349,239,1562,2150000
1768410350,180,1562,2150000
1768410351,1309,1454,2150000
1768410352,1380,1292,2150000
